date,competitor_id,competitor_name,domain,est_traffic,domain_authority,backlinks,content_pieces,avg_position
2026-04-04,comp_001,RivalReviews,rivalreviews.com,88743,69.6,18559,294,11.0
2026-04-04,comp_002,TopPickDaily,toppickdaily.com,120980,61.4,20562,795,18.0
2026-04-04,comp_003,DealHunterPro,dealhunterpro.com,157222,57.9,23929,500,11.9
2026-04-05,comp_001,RivalReviews,rivalreviews.com,116185,65.3,12998,673,14.8
2026-04-05,comp_002,TopPickDaily,toppickdaily.com,83388,50.9,18190,760,18.0
2026-04-05,comp_003,DealHunterPro,dealhunterpro.com,153818,69.1,23750,568,17.7
2026-04-06,comp_001,RivalReviews,rivalreviews.com,139721,45.5,19771,328,14.9
2026-04-06,comp_002,TopPickDaily,toppickdaily.com,58821,58.0,9884,492,18.7
2026-04-06,comp_003,DealHunterPro,dealhunterpro.com,175965,41.9,5058,621,8.0
2026-04-07,comp_001,RivalReviews,rivalreviews.com,190680,55.5,26208,587,11.5
2026-04-07,comp_002,TopPickDaily,toppickdaily.com,162979,37.0,14476,408,16.3
2026-04-07,comp_003,DealHunterPro,dealhunterpro.com,85341,41.9,7210,289,6.9
2026-04-08,comp_001,RivalReviews,rivalreviews.com,60342,46.8,14439,286,13.5
2026-04-08,comp_002,TopPickDaily,toppickdaily.com,52186,40.3,14233,378,10.8
2026-04-08,comp_003,DealHunterPro,dealhunterpro.com,102588,62.6,7742,310,15.7
2026-04-09,comp_001,RivalReviews,rivalreviews.com,126079,63.6,14877,273,6.0
2026-04-09,comp_002,TopPickDaily,toppickdaily.com,110280,54.1,15080,337,18.2
2026-04-09,comp_003,DealHunterPro,dealhunterpro.com,185540,57.5,10642,508,16.0
2026-04-10,comp_001,RivalReviews,rivalreviews.com,106673,40.9,20078,309,18.8
2026-04-10,comp_002,TopPickDaily,toppickdaily.com,192784,61.9,17971,442,18.2
2026-04-10,comp_003,DealHunterPro,dealhunterpro.com,49666,53.4,25485,369,19.4
2026-04-11,comp_001,RivalReviews,rivalreviews.com,171044,49.0,17954,633,9.6
2026-04-11,comp_002,TopPickDaily,toppickdaily.com,140527,55.8,17230,220,15.6
2026-04-11,comp_003,DealHunterPro,dealhunterpro.com,96295,52.5,8176,287,13.5
2026-04-12,comp_001,RivalReviews,rivalreviews.com,109730,55.7,27659,373,14.6
2026-04-12,comp_002,TopPickDaily,toppickdaily.com,86396,60.6,15804,336,19.1
2026-04-12,comp_003,DealHunterPro,dealhunterpro.com,115201,56.1,5225,595,14.2
2026-04-13,comp_001,RivalReviews,rivalreviews.com,109381,60.4,19644,403,16.6
2026-04-13,comp_002,TopPickDaily,toppickdaily.com,171053,58.4,25686,613,6.4
2026-04-13,comp_003,DealHunterPro,dealhunterpro.com,158413,54.5,19760,373,15.6
2026-04-14,comp_001,RivalReviews,rivalreviews.com,110486,48.3,25784,658,5.5
2026-04-14,comp_002,TopPickDaily,toppickdaily.com,189016,52.9,10459,210,9.1
2026-04-14,comp_003,DealHunterPro,dealhunterpro.com,112410,46.3,22049,414,17.1
2026-04-15,comp_001,RivalReviews,rivalreviews.com,117477,48.2,11380,703,14.8
2026-04-15,comp_002,TopPickDaily,toppickdaily.com,74792,60.9,14035,679,12.7
2026-04-15,comp_003,DealHunterPro,dealhunterpro.com,132608,59.7,19119,608,13.5
2026-04-16,comp_001,RivalReviews,rivalreviews.com,63218,38.3,10491,494,7.7
2026-04-16,comp_002,TopPickDaily,toppickdaily.com,168110,46.0,22050,798,15.5
2026-04-16,comp_003,DealHunterPro,dealhunterpro.com,88517,57.2,16455,767,14.7
2026-04-17,comp_001,RivalReviews,rivalreviews.com,62899,74.2,17215,867,9.9
2026-04-17,comp_002,TopPickDaily,toppickdaily.com,124311,52.7,24839,756,8.7
2026-04-17,comp_003,DealHunterPro,dealhunterpro.com,107990,51.1,4901,302,6.0
2026-04-18,comp_001,RivalReviews,rivalreviews.com,54578,63.0,29875,460,6.2
2026-04-18,comp_002,TopPickDaily,toppickdaily.com,70938,46.9,19617,245,11.6
2026-04-18,comp_003,DealHunterPro,dealhunterpro.com,147436,62.4,14180,371,7.0
2026-04-19,comp_001,RivalReviews,rivalreviews.com,95828,39.5,12641,641,18.2
2026-04-19,comp_002,TopPickDaily,toppickdaily.com,150817,66.4,21771,577,6.6
2026-04-19,comp_003,DealHunterPro,dealhunterpro.com,50168,45.1,23890,218,6.3
2026-04-20,comp_001,RivalReviews,rivalreviews.com,126035,53.2,22385,259,16.4
2026-04-20,comp_002,TopPickDaily,toppickdaily.com,95354,52.1,7483,658,8.6
