date,list_id,list_name,subscribers,open_rate,click_rate,unsub_rate,revenue
2026-04-04,list_001,Weekly Deals,15000,0.333,0.0692,0.0047,1866.86
2026-04-04,list_002,Product Launches,8000,0.267,0.0583,0.0021,501.0
2026-04-04,list_003,Newsletter Digest,22000,0.25,0.0747,0.0028,1285.7
2026-04-04,list_004,VIP Buyers,3000,0.323,0.1137,0.0016,680.9
2026-04-05,list_001,Weekly Deals,15000,0.186,0.0226,0.0011,536.3
2026-04-05,list_002,Product Launches,8000,0.236,0.0937,0.0013,1096.94
2026-04-05,list_003,Newsletter Digest,22000,0.235,0.0791,0.0033,1981.32
2026-04-05,list_004,VIP Buyers,3000,0.228,0.0606,0.0025,187.79
2026-04-06,list_001,Weekly Deals,15000,0.245,0.067,0.004,859.4
2026-04-06,list_002,Product Launches,8000,0.232,0.0612,0.0025,963.21
2026-04-06,list_003,Newsletter Digest,22000,0.297,0.0398,0.003,1344.7
2026-04-06,list_004,VIP Buyers,3000,0.264,0.1043,0.0044,522.01
2026-04-07,list_001,Weekly Deals,15000,0.164,0.0602,0.0013,1091.44
2026-04-07,list_002,Product Launches,8000,0.367,0.0453,0.0038,615.05
2026-04-07,list_003,Newsletter Digest,22000,0.152,0.0309,0.0039,818.01
2026-04-07,list_004,VIP Buyers,3000,0.245,0.0784,0.0027,456.49
2026-04-08,list_001,Weekly Deals,15000,0.226,0.025,0.0051,609.05
2026-04-08,list_002,Product Launches,8000,0.281,0.0333,0.0031,200.76
2026-04-08,list_003,Newsletter Digest,22000,0.301,0.1031,0.003,2109.93
2026-04-08,list_004,VIP Buyers,3000,0.22,0.0782,0.0018,163.94
2026-04-09,list_001,Weekly Deals,15000,0.3,0.0313,0.0014,357.72
2026-04-09,list_002,Product Launches,8000,0.185,0.0433,0.0043,308.95
2026-04-09,list_003,Newsletter Digest,22000,0.262,0.089,0.0047,1985.94
2026-04-09,list_004,VIP Buyers,3000,0.157,0.0597,0.0014,222.79
2026-04-10,list_001,Weekly Deals,15000,0.349,0.0598,0.0032,1306.36
2026-04-10,list_002,Product Launches,8000,0.271,0.0552,0.0033,721.23
2026-04-10,list_003,Newsletter Digest,22000,0.162,0.0356,0.002,1268.18
2026-04-10,list_004,VIP Buyers,3000,0.276,0.059,0.0041,214.5
2026-04-11,list_001,Weekly Deals,15000,0.29,0.03,0.0042,527.95
2026-04-11,list_002,Product Launches,8000,0.361,0.1101,0.0012,1652.88
2026-04-11,list_003,Newsletter Digest,22000,0.355,0.0815,0.0049,3205.05
2026-04-11,list_004,VIP Buyers,3000,0.193,0.025,0.0034,81.5
2026-04-12,list_001,Weekly Deals,15000,0.324,0.1038,0.0036,1233.75
2026-04-12,list_002,Product Launches,8000,0.274,0.0422,0.003,509.51
2026-04-12,list_003,Newsletter Digest,22000,0.168,0.0217,0.0016,558.04
2026-04-12,list_004,VIP Buyers,3000,0.189,0.0298,0.001,57.03
2026-04-13,list_001,Weekly Deals,15000,0.318,0.1115,0.0054,2437.04
2026-04-13,list_002,Product Launches,8000,0.185,0.066,0.0016,783.86
2026-04-13,list_003,Newsletter Digest,22000,0.295,0.1151,0.0051,3908.4
2026-04-13,list_004,VIP Buyers,3000,0.225,0.0857,0.0033,484.39
2026-04-14,list_001,Weekly Deals,15000,0.22,0.0816,0.0038,1205.77
2026-04-14,list_002,Product Launches,8000,0.148,0.0493,0.0023,394.0
2026-04-14,list_003,Newsletter Digest,22000,0.296,0.0531,0.0024,1445.74
2026-04-14,list_004,VIP Buyers,3000,0.307,0.0471,0.0033,101.14
2026-04-15,list_001,Weekly Deals,15000,0.209,0.0612,0.005,1444.11
2026-04-15,list_002,Product Launches,8000,0.145,0.0394,0.0018,368.41
2026-04-15,list_003,Newsletter Digest,22000,0.201,0.0587,0.0053,1933.11
2026-04-15,list_004,VIP Buyers,3000,0.27,0.1003,0.0031,383.07
2026-04-16,list_001,Weekly Deals,15000,0.281,0.0649,0.005,1627.11
2026-04-16,list_002,Product Launches,8000,0.28,0.0283,0.0052,390.98
2026-04-16,list_003,Newsletter Digest,22000,0.262,0.0997,0.0024,3340.01
2026-04-16,list_004,VIP Buyers,3000,0.268,0.1039,0.0013,405.81
2026-04-17,list_001,Weekly Deals,15000,0.189,0.045,0.0046,993.39
2026-04-17,list_002,Product Launches,8000,0.143,0.0308,0.0016,380.4
2026-04-17,list_003,Newsletter Digest,22000,0.309,0.0642,0.0015,2046.83
2026-04-17,list_004,VIP Buyers,3000,0.191,0.0302,0.0042,125.88
2026-04-18,list_001,Weekly Deals,15000,0.162,0.0425,0.0022,829.33
2026-04-18,list_002,Product Launches,8000,0.264,0.1053,0.0013,492.03
2026-04-18,list_003,Newsletter Digest,22000,0.172,0.0233,0.0046,769.4
2026-04-18,list_004,VIP Buyers,3000,0.282,0.1022,0.0016,419.74
2026-04-19,list_001,Weekly Deals,15000,0.177,0.0252,0.0041,456.18
2026-04-19,list_002,Product Launches,8000,0.179,0.0556,0.0017,337.32
2026-04-19,list_003,Newsletter Digest,22000,0.183,0.0619,0.0024,1029.57
2026-04-19,list_004,VIP Buyers,3000,0.322,0.0425,0.0031,216.59
2026-04-20,list_001,Weekly Deals,15000,0.285,0.0649,0.0039,1921.0
2026-04-20,list_002,Product Launches,8000,0.226,0.0888,0.0035,501.54
2026-04-20,list_003,Newsletter Digest,22000,0.34,0.112,0.0037,2472.02
2026-04-20,list_004,VIP Buyers,3000,0.158,0.0355,0.0034,141.66
2026-04-21,list_001,Weekly Deals,15000,0.329,0.0369,0.0014,980.28
2026-04-21,list_002,Product Launches,8000,0.316,0.0331,0.003,134.92
2026-04-21,list_003,Newsletter Digest,22000,0.152,0.0449,0.0041,1110.62
2026-04-21,list_004,VIP Buyers,3000,0.333,0.1025,0.002,448.87
2026-04-22,list_001,Weekly Deals,15000,0.234,0.0893,0.0035,745.34
2026-04-22,list_002,Product Launches,8000,0.226,0.087,0.0032,1165.02
2026-04-22,list_003,Newsletter Digest,22000,0.144,0.0246,0.0014,701.02
2026-04-22,list_004,VIP Buyers,3000,0.195,0.064,0.0028,159.15
2026-04-23,list_001,Weekly Deals,15000,0.305,0.0558,0.0019,1418.65
2026-04-23,list_002,Product Launches,8000,0.363,0.088,0.0018,1059.67
2026-04-23,list_003,Newsletter Digest,22000,0.241,0.0447,0.0024,984.82
2026-04-23,list_004,VIP Buyers,3000,0.329,0.0372,0.0043,210.62
2026-04-24,list_001,Weekly Deals,15000,0.277,0.068,0.0013,1879.47
2026-04-24,list_002,Product Launches,8000,0.286,0.0566,0.0019,686.12
2026-04-24,list_003,Newsletter Digest,22000,0.29,0.0574,0.0013,2028.84
