date,keyword,position,impressions,clicks,ctr,search_volume,cpc
2026-03-01,best laptops 2026,3,638,67,0.1064,18000,2.5
2026-03-01,vpn comparison,14,751,16,0.022,22000,3.1
2026-03-01,budget meal prep,7,301,12,0.0408,9500,0.8
2026-03-01,remote work accessories,20,216,3,0.0163,6000,1.9
2026-03-01,fitness tracker reviews,2,475,72,0.1527,14000,2.0
2026-03-01,seo tools 2026,24,260,3,0.0122,8000,4.2
2026-03-01,standing desk review,7,337,13,0.0395,11000,2.8
2026-03-01,home office setup,17,251,4,0.0177,7500,1.5
2026-03-02,best laptops 2026,3,622,64,0.1037,18000,2.5
2026-03-02,vpn comparison,11,748,20,0.0278,22000,3.1
2026-03-02,budget meal prep,9,315,10,0.0332,9500,0.8
2026-03-02,remote work accessories,20,203,3,0.0153,6000,1.9
2026-03-02,fitness tracker reviews,1,466,139,0.3002,14000,2.0
2026-03-02,seo tools 2026,24,244,2,0.0115,8000,4.2
2026-03-02,standing desk review,10,396,12,0.0324,11000,2.8
2026-03-02,home office setup,16,266,5,0.02,7500,1.5
2026-03-03,best laptops 2026,4,602,45,0.0753,18000,2.5
2026-03-03,vpn comparison,14,788,18,0.023,22000,3.1
2026-03-03,budget meal prep,8,312,11,0.037,9500,0.8
2026-03-03,remote work accessories,19,211,3,0.0167,6000,1.9
2026-03-03,fitness tracker reviews,5,452,26,0.0582,14000,2.0
2026-03-03,seo tools 2026,24,245,2,0.0115,8000,4.2
2026-03-03,standing desk review,7,348,14,0.0408,11000,2.8
2026-03-03,home office setup,13,270,6,0.025,7500,1.5
2026-03-04,best laptops 2026,6,573,27,0.0478,18000,2.5
2026-03-04,vpn comparison,11,719,19,0.0268,22000,3.1
2026-03-04,budget meal prep,5,285,15,0.0541,9500,0.8
2026-03-04,remote work accessories,16,203,3,0.019,6000,1.9
2026-03-04,fitness tracker reviews,4,468,35,0.0753,14000,2.0
2026-03-04,seo tools 2026,25,274,3,0.0124,8000,4.2
2026-03-04,standing desk review,6,359,17,0.0491,11000,2.8
2026-03-04,home office setup,17,232,3,0.0164,7500,1.5
2026-03-05,best laptops 2026,6,570,27,0.0475,18000,2.5
2026-03-05,vpn comparison,12,722,17,0.0246,22000,3.1
2026-03-05,budget meal prep,8,323,12,0.0383,9500,0.8
2026-03-05,remote work accessories,19,210,3,0.0166,6000,1.9
2026-03-05,fitness tracker reviews,5,471,28,0.0606,14000,2.0
2026-03-05,seo tools 2026,25,265,3,0.012,8000,4.2
2026-03-05,standing desk review,9,371,12,0.0337,11000,2.8
2026-03-05,home office setup,15,237,4,0.019,7500,1.5
2026-03-06,best laptops 2026,5,609,37,0.0609,18000,2.5
2026-03-06,vpn comparison,10,767,24,0.0314,22000,3.1
