date,platform_id,platform_name,followers,posts,impressions,engagements,clicks,revenue
2026-04-04,soc_twitter,Twitter/X,25000,4,14325,415,32,5.25
2026-04-04,soc_instagram,Instagram,18000,1,4308,281,33,12.64
2026-04-04,soc_youtube,YouTube,12000,3,9567,294,26,3.84
2026-04-04,soc_pinterest,Pinterest,8000,5,3898,49,3,1.36
2026-04-05,soc_twitter,Twitter/X,25000,3,23565,320,63,31.24
2026-04-05,soc_instagram,Instagram,18000,1,801,27,3,0.74
2026-04-05,soc_youtube,YouTube,12000,5,5800,112,20,4.36
2026-04-05,soc_pinterest,Pinterest,8000,1,2445,61,11,1.88
2026-04-06,soc_twitter,Twitter/X,25000,5,31845,2253,429,142.99
2026-04-06,soc_instagram,Instagram,18000,4,22457,629,90,30.76
2026-04-06,soc_youtube,YouTube,12000,4,4454,128,17,7.19
2026-04-06,soc_pinterest,Pinterest,8000,2,2845,173,19,3.03
2026-04-07,soc_twitter,Twitter/X,25000,4,9457,217,38,6.67
2026-04-07,soc_instagram,Instagram,18000,2,7599,87,6,1.03
2026-04-07,soc_youtube,YouTube,12000,5,5571,111,12,3.38
2026-04-07,soc_pinterest,Pinterest,8000,4,2541,119,18,7.62
2026-04-08,soc_twitter,Twitter/X,25000,4,15202,269,13,5.62
2026-04-08,soc_instagram,Instagram,18000,2,4736,75,5,1.75
2026-04-08,soc_youtube,YouTube,12000,1,2797,48,7,1.65
2026-04-08,soc_pinterest,Pinterest,8000,2,1469,92,16,6.82
2026-04-09,soc_twitter,Twitter/X,25000,4,8179,113,17,5.97
2026-04-09,soc_instagram,Instagram,18000,1,1157,35,4,1.74
2026-04-09,soc_youtube,YouTube,12000,2,1151,45,3,1.09
2026-04-09,soc_pinterest,Pinterest,8000,4,6316,379,70,20.77
2026-04-10,soc_twitter,Twitter/X,25000,2,4512,347,35,12.12
2026-04-10,soc_instagram,Instagram,18000,1,4177,218,16,5.0
2026-04-10,soc_youtube,YouTube,12000,4,4370,247,23,9.82
2026-04-10,soc_pinterest,Pinterest,8000,1,885,39,4,0.82
2026-04-11,soc_twitter,Twitter/X,25000,1,7186,505,99,40.7
2026-04-11,soc_instagram,Instagram,18000,2,4563,276,46,13.4
2026-04-11,soc_youtube,YouTube,12000,5,7782,473,33,7.56
2026-04-11,soc_pinterest,Pinterest,8000,4,3762,167,20,9.78
2026-04-12,soc_twitter,Twitter/X,25000,3,6599,502,94,23.81
2026-04-12,soc_instagram,Instagram,18000,5,16835,795,137,34.78
2026-04-12,soc_youtube,YouTube,12000,4,9005,579,99,18.59
2026-04-12,soc_pinterest,Pinterest,8000,3,1016,80,4,1.29
2026-04-13,soc_twitter,Twitter/X,25000,1,1919,66,11,4.91
2026-04-13,soc_instagram,Instagram,18000,3,10052,688,91,43.0
2026-04-13,soc_youtube,YouTube,12000,2,5972,83,5,2.42
2026-04-13,soc_pinterest,Pinterest,8000,4,8073,474,53,6.45
2026-04-14,soc_twitter,Twitter/X,25000,5,7207,494,89,9.97
2026-04-14,soc_instagram,Instagram,18000,1,1894,20,3,0.8
2026-04-14,soc_youtube,YouTube,12000,4,12524,781,120,26.38
2026-04-14,soc_pinterest,Pinterest,8000,3,3727,205,10,1.45
2026-04-15,soc_twitter,Twitter/X,25000,1,4141,91,6,1.55
2026-04-15,soc_instagram,Instagram,18000,4,13160,895,168,50.53
2026-04-15,soc_youtube,YouTube,12000,4,14714,427,27,6.78
2026-04-15,soc_pinterest,Pinterest,8000,2,2834,39,4,1.72
2026-04-16,soc_twitter,Twitter/X,25000,5,38751,2602,312,70.29
2026-04-16,soc_instagram,Instagram,18000,4,6939,459,67,11.92
2026-04-16,soc_youtube,YouTube,12000,1,1423,91,9,1.76
2026-04-16,soc_pinterest,Pinterest,8000,1,459,23,3,0.67
2026-04-17,soc_twitter,Twitter/X,25000,1,2808,44,5,0.59
2026-04-17,soc_instagram,Instagram,18000,4,5282,169,32,3.31
2026-04-17,soc_youtube,YouTube,12000,3,9830,442,42,10.76
2026-04-17,soc_pinterest,Pinterest,8000,2,3402,57,6,2.38
2026-04-18,soc_twitter,Twitter/X,25000,2,2349,154,18,8.06
2026-04-18,soc_instagram,Instagram,18000,2,2578,109,19,2.61
2026-04-18,soc_youtube,YouTube,12000,2,6573,366,60,9.87
